WSID,Water System Name,History of E. coli Presence,Increasing Presence of Water Quality Trends Toward MCL,Treatment Technique Violations,Past Presence on the HR2W List,Maximum Duration of High Potential Exposure (HPE),Percentage of Sources Exceeding an MCL,Number of Water Sources ,Presence of Interties,Water Source Types,DWR – Drought & Water Shortage Risk Assessment Results,Critically Overdrafted Groundwater Basin,Percent of Median Household Income (%MHI),Extreme Water Bill,Percent Shutoffs,Number of Service Connections,Operator Certification Violations,Monitoring and Reporting Violations,Significant Deficiencies,Extensive Treatment Installed,Final At-Risk List
CA1510023,LAKE OF THE WOODS MWC,0,1,0,0,1,1,0,1,0,1,0,0.75,0,0,1,0,0,0,0,At-Risk
CA1510024,GREENFIELD COUNTY WD,0,0,0,0,0.5,1,0,1,0, ,1,0,0,0,0,0,0,0,0,Potentially At-Risk
CA1510025,STALLION SPRINGS CSD,0,0.25,0,0,0.25,1,0,1,0, ,0,0,0,0,0,0,1,0,0,Potentially At-Risk
CA1510026,CWS - UPPER BODFISH WATER SYSTEM,0,0.5,0,0,0.25,1,0,1,0, ,0,0.75,0,0,1,0,0,0,1,At-Risk
CA1510027,DESERT LAKE COMM SERV DIST,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1510028,MIL POTRERO MWC,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1510033,CWS - KERNVILLE,0,0.5,0,0,0,0,0,1,0, ,0,1,0,0,0,0,0,0,1,Not At-Risk
CA1510036,INYOKERN CSD,0,0.5,0,0.5,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,At-Risk
CA1510038,BEAR VALLEY CSD,0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1510039,CWS SOUTHLAKE SYSTEM,0,0.25,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1510042,MOUNTAIN MESA WC,0,1,0,0,0.25,1,0,0,0,0,0,0,0, ,1,0,1,0,0,At-Risk
CA1510043,CWS-ONYX WATER SYSTEM,0,0,0,0,1,1,0,1,0, ,0,1,0,0,1,0,0,0,0,At-Risk
CA1510045,GOLDEN HILLS CSD,0,1,0,0,0.5,0,0,0,0, ,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1510049,CWS - LAKELAND,0,1,0,0,0,1,0,1,0, ,0,1,0,0,1,0,0,0,0,At-Risk
CA1510051,LEBEC COUNTY WATER DISTRICT,0,0.5,0,0.5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA1510052,NORTH EDWARDS WD,0,0.5,0,0,1,1,0,1,0,0,0,0.75,0, ,1,0,0,0,0,HR2W
CA1510054,PINON PINES MWC,0,0.5,0,0.5,0.5,1,0,1,0,0,0,0.75,0,0,1,0,0,0,0,HR2W
CA1510056,CWS - LOWER BODFISH WATER SYSTEM,0,0.5,0,0,0,1,0,1,0, ,0,1,0,0,0,0,0,0,1,At-Risk
CA1510701,EDWARDS AFB - MAIN BASE,0,0.25,0,0,0.25,0,0,0,0,0,0, ,0,0,0,0,0,0,1,Not At-Risk
CA1510703,CHINA LAKE NAVAL AIR WEAPONS STATION,0,0.25,0,0,0.25,0,0,0,0,0,1, ,0,0,0,0,0,0,0,Not At-Risk
CA1510800,CCI - TEHACHAPI,0,0,1,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1510801,WASCO ST. PRISON RECEPTION CTR,0,0,0,0.5,0.5,1,0,1,0,0,1, ,0,0,0,0,0,0,0,HR2W
CA1510802,KERN VALLEY STATE PRISON,0,1,0,0,0.5,1,0,1,0,0,1, ,0,0,0,0,0,0,0,At-Risk
CA1600002,SUNSET VISTA ESTATES MHP,0,0.25,0,0,0.25,0,1,1,1,0,1,0, ,0,1,0,0,0,0,Potentially At-Risk
CA1600009,HANFORD CHRISTIAN SCHOOL,0,0.5,0,0, ,0,1,1,1, ,0, , ,0,1,0,0,0,0,At-Risk
CA1600011,PIONEER ELEMENTARY SCHOOL,0,1,0,0, ,1,0,1,0, ,0, , ,0,1,0,0,0,0,At-Risk
CA1600013,LAKESIDE ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1, ,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA1600015,KINGS RIVER HARDWICK SCHOOL,0,0,0,0, ,0,1,1,1, ,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA1600017,ISLAND UNION SCHOOL,0,0,0,0, ,0,1,1,1, ,1, , ,0,1,0,0,0,0,At-Risk
CA1600023,AZCAL MANAGEMENT CO,0,0,0,0,0.25,0,1,1,1,1,1,0, ,0,1,0,0,0,1,At-Risk
CA1600293,CHAMPIONS- SAMUEL'S HOUSE,0,0,0,0,0.25,1,1,1,1,0.25,1, , ,0,1,0,0,0,0,At-Risk
CA1600507,HARDWICK WATER COMPANY,0,0.5,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,At-Risk
CA1610001,ARMONA COMMUNITY SERVICES DIST,0,0.5,0,0,0.25,1,0,1,0,0,1,0,0,0,0,0,0,0,1,At-Risk
CA1610002,"AVENAL, CITY OF",0,0.25,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,Potentially At-Risk
CA1610006,STRATFORD PUD,0,0.25,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA1610007,HOME GARDEN CSD,0,0.5,0,0.5,0,1,0,1,0,0,1,0.75,0,0,0,0,0,0,0,At-Risk
CA1610009,KETTLEMAN CITY CSD,0,0.5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,At-Risk
CA1610700,LEMOORE NAVAL AIR STATION,0,0.25,0,0,0.5,1,0,1,0,0,0, ,0,0,0,0,0,0,1,At-Risk
CA1700502,ANDERSON SPRINGS CSD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,Potentially At-Risk
CA1700508,GLENHAVEN MUTUAL WATER COMPANY,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Not At-Risk
CA1700518,LOCH LOMOND MUTUAL WATER CO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Not At-Risk
CA1700519,CRESCENT BAY IMPROVEMENT COMPANY,0,0.25,0,0.5,1,0,1,1,1,1,0,1,0.5,0,1,0,1,0,1,HR2W
CA1700527,MOUNTAIN OF ATTENTION WATER,0,0.25,0,0,0,0,1,1,1,1,0,0, ,0,1,0,1,0,0,At-Risk
CA1700530,COBB MOUNTAIN WATER COMPANY,0,0,0,0,0,0,1,1,1,0,0,0.75,0,0,1,0,0,0,0,Potentially At-Risk
CA1700536,SUNRISE SHORE MUTUAL WATER COMPANY,0,0.5,0,0,0.5,1,1,1,1,1,0,0.75,0,0,1,0,0,0,0,At-Risk
CA1700546,CLEAR WATER MUTUAL WATER COMPANY,0,0,0,0,0,0,1,1,1,0.25,0,1,0.5,0,1,0,0,0,1,At-Risk
CA1700549,CORINTHIAN BAY MUTUAL WATER COMPANY,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Not At-Risk
CA1700554,LAKE COUNTY CSA 13 - KONO TAYEE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1700561,BLUE LAKES IMPROVEMENT CLUB,0,0,0,0,0,0,1,1,1,0.25,0,0.75,0,0,1,0,0,0,0,Potentially At-Risk
CA1700568,HARBOR VIEW MUTUAL WATER COMPANY,0,0.25,0,0,0.5,0,1,1,1,0,0,1,1,0,1,0,1,0,1,At-Risk
CA1700579,VILLA BLUE ESTATES WATER DISTRICT,0,0.25,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1700580,TWIN CREEKS MOBILE AND RV VILLAGE,0,0.25,0,0,0.5,0,1,1,1,0,0, ,0,0,1,0,1,0,0,At-Risk
CA1700581,CACHE CREEK MOBILE HOME PARK,0,0.25,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Not At-Risk
CA1700584,WESTWIND MOBILE HOME PARK,0,0,0,0.5,0.5,0,1,1,1,0,0,0,0,0,1,0,1,0,1,At-Risk
CA1700589,BLUE LAKES MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,1,0,0, ,0,1,0,0,0,0,Potentially At-Risk
CA1700592,KONOCTI SHORES,0,0,0,0,0,0,0,1,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA1700595,CAL 20 VILLAGE AND MEADOW POINTE PARK,0,0.25,0,0.5,0.5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,HR2W
CA1700596,BLUE LAKES VILLAGE,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1700606,BAYCLIFF WATER,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1700609,LAZY S MOBILE RANCH,0,0.25,0,1,0.5,0,1,1,1,1,0,0, ,0,1,0,1,0,1,HR2W
CA1700610,BELLA LAGO MOBILE HOME PARK,0,0.25,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA1700630,PIER 1900 HOMEOWNER S ASSOCIATION,0,0,0,0,0,0,1,1,1,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA1700657,WINDFLOWER POINT MUTUAL WATER COMPANY,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,At-Risk
CA1700674,WALNUT COVE MOBILE ESTATES,0,0.25,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA1700702,INNISFREE WATER COMPANY,0,0.25,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,At-Risk
CA1710001,CLEARLAKE OAKS COUNTY WATER DISTRICT,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,0,0,1,0,1,Potentially At-Risk
CA1710002,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Not At-Risk
CA1710003,HIGHLANDS MUTUAL WATER COMPANY,0,0.25,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HR2W
CA1710004,"LAKEPORT, CITY OF",0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Not At-Risk
CA1710005,LUCERNE WATER CO. - CAL WATER SERVICE,0,0.25,0,0,0,0,1,1,1, ,0,1,0,0,0,0,0,0,1,At-Risk
CA1710006,KONOCTI COUNTY WATER DISTRICT,0,0.25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Not At-Risk
CA1710008,NICE MUTUAL WATER COMPANY,0,0.25,0,0,0,0,1,1,1,0,0,0.75,0,0,0,0,0,0,1,Potentially At-Risk
CA1710009,UPPER LAKE COUNTY WATER DISTRICT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1710010,LOWER LAKE COUNTY WATER DISTRICT,0,0.25,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,0,Not At-Risk
CA1710011,BUCKINGHAM PARK WATER DISTRICT,0,0.25,0,0,0.25,0,1,1,1,0,0,0.75,0,0,1,0,0,0,1,At-Risk
CA1710012,COBB AREA COUNTY WATER DISTRICT,0,0.25,0,0,0,0,0,1,0,0.25,0,0.75,0,0,0,0,0,0,0,Not At-Risk
CA1710013,CALLAYOMI COUNTY WATER DISTRICT,0,0.25,0,0,0,0,0,1,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA1710014,MT. KONOCTI MUTUAL WATER COMPANY,0,0.25,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,At-Risk
CA1710015,HIDDEN VALLEY LAKE CSD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1710018,LAKE COUNTY CSA 2 - SPRING VALLEY,0,0.25,0,0,0.5,0,1,1,1,0,0,0,0,1,1,0,0,0,1,At-Risk
CA1710021,LAKE COUNTY CSA 21 - NORTH LAKEPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Not At-Risk
CA1710022,LAKE COUNTY CSA 20 - SODA BAY,0,0.25,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,At-Risk
CA1710800,CDF-KONOCTI CONSERVATION CAMP NO. 27,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,At-Risk
CA1800202,LASSEN CO. OFF. OF EDUCATION,0,0,0,0, ,0,1,1,1,0,0, , ,0,1,0,1,0,0,At-Risk
CA1800503,SUSAN RIVER PARK WATER CO.,0,0,0,0,0,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA1800511,LAKE FOREST MUTUAL W.C.,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1800512,CLEAR CREEK CSD-WESTWOOD,0,0,0,0,0.25,0,1,1,1,1,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1800516,LITTLE VALLEY CSD,0,0,0,0,0,0,1,1,1,0.25,0, , ,0,1,0,0,0,0,Not At-Risk
CA1800522,HONEY LAKE CAMPGROUND,0,0,0,0,0,0,0,1,0, ,0, , ,0,1,0,1,0,0,Not At-Risk
CA1800523,PINEVIEW MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,1,0,0, ,0,1,0,0,0,0,Potentially At-Risk
CA1800524,LASSEN MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1800529,SUSAN HILLS ESTATES WC,0,0,0,0,0,0,0,1,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA1800534,SPAULDING EAGLE LAKE MWC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1800573,RICHMOND ELEMENTARY SCHOOL,0,0.5,0,0, ,1,1,1,1,0,0, ,0,0,1,0,0,0,0,At-Risk
CA1800574,JOHNSTONVILLE ELEMENTARY SCHOOL,0,0,0,0, ,0,0,1,0,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA1800575,SHAFFER ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1,0.25,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA1800576,LONG VALLEY CHARTER SCHOOL,0,0,0,0, ,0,1,1,1,0,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA1800577,JANESVILLE ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1,0,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA1805004,CDCR-HIGH DESERT STATE PRISON,0,0.5,0,0,1,0,0,1,0,0,0, ,0,0,0,0,0,0,0,Potentially At-Risk
CA1805007,HERLONG PUBLIC UTILITY DISTRICT,0,0,0,0,0,0,0,1,0,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA1810002,WESTWOOD C.S.D.,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1810003,LASSEN COUNTY WATER DISTRICT #1,0,0.25,0,0,0,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA1810004,LEAVITT LAKE CSD,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900007,CALIFORNIA CONSERVATION CAMP #14,0,0,0,0, ,0,0,1,0, ,0, , ,0,1,0,0,0,0,Not At-Risk
CA1900038,LANCASTER PARK MOBILE HOME PARK,0,0.5,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,HR2W
CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,0,0,0,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,Not At-Risk
CA1900055,BLUE SKIES TRAILOR PARK,0,0,0,0,0.25,0,1,1,1,1,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1900062,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,0,0,0,0,0.5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,At-Risk
CA1900074,THE PAINTED TURTLE CAMP,0,0,0,0,0,0,1,1,1,1,0, ,0,0,1,0,0,0,0,At-Risk
CA1900075,BLEICH FLATS MUTUAL,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900100,METTLER VALLEY MUTUAL,0,0.5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA1900102,WESTSIDE PARK MUTUAL WATER,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900130,DEL RIO MUTUAL,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900145,REESEDALE MUTUAL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900146,SUNNYSIDE FARMS MUTUAL WATER COMPANY,0,0.5,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900154,TIERRA BONITA MUTUAL WATER,0,0,0,0,0.25,0,1,1,1,0,0,1,0,0,1,0,0,0,0,Potentially At-Risk
CA1900155,WILSONA GARDENS MUTUAL,0,0,0,0,0.5,0,0,0,0,0,0,0.75,0, ,1,0,0,0,0,Not At-Risk
CA1900158,LITTLE BALDY WATER,0,0,0,0,0,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA1900301,SHADOW ACRES MUTUAL WATER COMPANY,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900303,LLANO MUTUAL WATER COMPANY,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900520,THE VILLAGE MOBILE HOME PARK,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,HR2W
CA1900523,WHITE FENCE FARMS MWC NO.3,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900529,CAMP WILLIAMS-RESORT WATER,0,0,0,0,0,0,0,1,0,0.25,0, ,0,0,1,0,0,0,0,Not At-Risk
CA1900537,OAK GROVE FAMILY PARK,0,1,0,0,0.25,1,1,1,1,0.25,0,0,0, ,1,0,0,0,0,At-Risk
CA1900541,WESTERN SKIES MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",0,0,0,0,1,1,1,1,1,0.25,0,0, ,0,1,0,0,0,1,At-Risk
CA1900555,"LOS ANGELES, CITY OF - POWER PLANT #1",0,0,0,0,1,1,1,1,1,0.25,0,0, ,0,1,0,0,0,1,At-Risk
CA1900563,"SUNDALE MUTUAL WATER COMPANY A, B",0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900599,VALHALLA WATER ASSOCIATION,1,0,0,0,0.5,0,1,1,1,1,0,0,0,0,1,0,0,0,0,At-Risk
CA1900616,THE RIVER COMMUNITY,0,0,0,0,0,0,1,1,1,1,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA1900636,EL RANCHO MOBILE HOME PARK,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900649,GOLDEN SANDS MOBILE HOME PARK,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900693,DESERT PALMS MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1900707,ILEAD AGUA DULCE CHARTER SCHOOL,0,1,0,0, ,0,1,1,1, ,0, ,0,0,1,0,0,0,0,At-Risk
CA1900717,CASA DULCE ESTATES,0,0.5,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Potentially At-Risk
CA1900721,TERRA NOVA MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900750,DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,0,0,0,0, ,0,1,1,1, ,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA1900751,EASTSIDE UNION SCHOOL DISTRICT,0,0,0,0, ,0,1,1,1, ,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA1900767,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,0,0,0,0,1,1,1,1,1,0,0,0, ,0,1,0,0,0,0,HR2W
CA1900794,ANTELOPE PARK MUTUAL WATER COMPANY,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Not At-Risk
CA1900801,COLORADO MUTUAL WATER COMPANY,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Not At-Risk
CA1900803,EL DORADO MUTUAL WATER CO.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900804,EVERGREEN MUTUAL WATER COMPANY,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900808,LANCASTER WATER COMPANY,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900809,LANDALE MUTUAL WATER COMPANY,0,0,0,0,0,0,1,1,1,0,0,0.75,0,0,1,0,0,0,0,Potentially At-Risk
CA1900817,CLEAR SKIES MOBILE HOME PARK,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,At-Risk
CA1900843,CALIFORNIAN MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,1,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA1900868,RIVERS END TRAILER PARK,0,0,0,0,0.25,0,1,1,1,1,0,0, ,0,1,0,0,0,0,Potentially At-Risk
CA1900886,HUGHES-ELIZABETH LAKE UNIFIED SCHOOL DIS,1,0,0,0, ,0,0,1,0, ,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA1900901,FIRE SUPPRESSION CAMP #19,0,0,0,0,0,0,0,1,0,0.25,0, , ,0,1,0,0,0,0,Not At-Risk
CA1900903,SLEEPY VALLEY WATER COMPANY,0,1,0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA1900907,SHERWOOD MOBILE HOME PARK,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1900936,AQUA J. MUTUAL WATER COMPANY,0,0.5,0,0,0.5,0,1,1,1,0,0,0.75,0,0,1,0,0,0,0,At-Risk
CA1900942,ALPINE SPRINGS MOBILE HOME PARK,0,0.5,0,0,0.5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1900961,WINTERHAVEN MOBILE ESTATES,0,0.5,0,0,1,1,1,1,1,0.25,0,0,0,0,1,0,0,0,0,HR2W
CA1900975,CALI LAKE RV RESORT,1,0,0,1,0.5,0,1,1,1,1,0,0,0,0,1,0,0,0,0,HR2W
CA1900976,THE OAKS,0,1,0,0,0.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,0,0,0,0.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA1907028,SPV WATER COMPANY,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,Potentially At-Risk
CA1909006,WEST VALLEY COUNTY WATER DISTRICT,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1910002,AMARILLO MUTUAL WATER COMPANY,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,0,0.25,0,0,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0,1,Not At-Risk
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910020,EAST PASADENA WATER CO.,0,0,0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,0,1,0,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,1,At-Risk
CA1910023,AVERYDALE MWC,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Not At-Risk
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",0,0,0,0,0,0,0,0,0, ,0,0,0,1,1,0,0,0,0,Not At-Risk
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",0,0,0,0,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910035,KINNELOA IRRIGATION DIST.,0,0.5,0,0,0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910050,"COMMERCE-CITY, WATER DEPT.",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910053,HEMLOCK MUTUAL WATER CO.,0,1,0,0,0.25,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1910054,LA CANADA IRRIGATION DIST.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not At-Risk
CA1910060,LA PUENTE VALLEY CWD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not At-Risk
CA1910061,LAS FLORES WATER CO.,0,1,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Potentially At-Risk
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA1910066,LEISURE LAKE MOBILE ESTATES,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1910072,GSWC - WILLOWBROOK,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,Not At-Risk
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,1,0.5,0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,At-Risk
